epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2676,2.01218,9.38699,2.81712,0.12963,0.22772,0.08441,0.07198,1.87293,8.26196,2.65409,8e-05,8e-05,8e-05
2,165.327,1.93318,6.47425,2.72504,0.2497,0.3654,0.26436,0.22413,1.89507,7.73664,2.57981,0.0001139,0.0001139,0.0001139
3,243.573,1.83734,5.52334,2.60839,0.44528,0.3782,0.34385,0.26409,1.87771,6.25533,2.45678,8.84e-05,8.84e-05,8.84e-05
